[INFO] [1787952641.228214431] [bev_imu]: MPU-9250 WHO_AM_I=0x71 on /dev/spidev1.0, INT gpio-298 (falling edge, /dev/gpiochip1 offset 42), CLOCK_MONOTONIC
[INFO] [1787952891.046932588] [bev_imu]: 50000 samples, 4 dropped (edge seen late), 1 late reads, 0 clipped
[INFO] [1787952901.039227993] [bev_imu]: 52000 samples, 4 dropped (edge seen late), 1 late reads, 0 clipped
[INFO] [1787952911.031542891] [bev_imu]: 54000 samples, 4 dropped (edge seen late), 1 late reads, 0 clipped
[INFO] [1787952921.023881336] [bev_imu]: 56000 samples, 4 dropped (edge seen late), 1 late reads, 0 clipped
[INFO] [1787952931.016206270] [bev_imu]: 58000 samples, 4 dropped (edge seen late), 1 late reads, 0 clipped
[INFO] [1787952941.008610930] [bev_imu]: 60000 samples, 4 dropped (edge seen late), 1 late reads, 0 clipped
[INFO] [1787952951.000963663] [bev_imu]: 62000 samples, 4 dropped (edge seen late), 1 late reads, 0 clipped
[INFO] [1787952960.998333536] [bev_imu]: 64000 samples, 5 dropped (edge seen late), 2 late reads, 0 clipped
[INFO] [1787952970.990661629] [bev_imu]: 66000 samples, 5 dropped (edge seen late), 2 late reads, 0 clipped
[INFO] [1787952980.983088019] [bev_imu]: 68000 samples, 5 dropped (edge seen late), 2 late reads, 0 clipped
[INFO] [1787952990.975698273] [bev_imu]: 70000 samples, 5 dropped (edge seen late), 2 late reads, 0 clipped
[INFO] [1787953000.967873363] [bev_imu]: 72000 samples, 5 dropped (edge seen late), 2 late reads, 0 clipped
[INFO] [1787953010.960208403] [bev_imu]: 74000 samples, 5 dropped (edge seen late), 2 late reads, 0 clipped
[INFO] [1787953020.952512018] [bev_imu]: 76000 samples, 5 dropped (edge seen late), 2 late reads, 0 clipped
[INFO] [1787953030.944958104] [bev_imu]: 78000 samples, 5 dropped (edge seen late), 2 late reads, 0 clipped
[INFO] [1787953040.937332307] [bev_imu]: 80000 samples, 5 dropped (edge seen late), 2 late reads, 0 clipped
[INFO] [1787953050.929729094] [bev_imu]: 82000 samples, 5 dropped (edge seen late), 2 late reads, 0 clipped
[INFO] [1787953060.922088260] [bev_imu]: 84000 samples, 5 dropped (edge seen late), 2 late reads, 0 clipped
[INFO] [1787953070.914555118] [bev_imu]: 86000 samples, 5 dropped (edge seen late), 2 late reads, 0 clipped
[INFO] [1787953080.907004705] [bev_imu]: 88000 samples, 5 dropped (edge seen late), 2 late reads, 0 clipped
[INFO] [1787953090.899431379] [bev_imu]: 90000 samples, 5 dropped (edge seen late), 2 late reads, 0 clipped
[INFO] [1787953100.891886277] [bev_imu]: 92000 samples, 5 dropped (edge seen late), 2 late reads, 0 clipped
[INFO] [1787953110.884318127] [bev_imu]: 94000 samples, 5 dropped (edge seen late), 2 late reads, 0 clipped
[INFO] [1787953120.876790285] [bev_imu]: 96000 samples, 5 dropped (edge seen late), 2 late reads, 0 clipped
[INFO] [1787953130.869290719] [bev_imu]: 98000 samples, 5 dropped (edge seen late), 2 late reads, 0 clipped
[INFO] [1787953140.861768826] [bev_imu]: 100000 samples, 5 dropped (edge seen late), 2 late reads, 0 clipped
[INFO] [1787953150.854237314] [bev_imu]: 102000 samples, 5 dropped (edge seen late), 2 late reads, 0 clipped
[INFO] [1787953160.846745906] [bev_imu]: 104000 samples, 5 dropped (edge seen late), 2 late reads, 0 clipped
[INFO] [1787953170.839232961] [bev_imu]: 106000 samples, 5 dropped (edge seen late), 2 late reads, 0 clipped
[INFO] [1787953180.831754569] [bev_imu]: 108000 samples, 5 dropped (edge seen late), 2 late reads, 0 clipped
[INFO] [1787953190.824217772] [bev_imu]: 110000 samples, 5 dropped (edge seen late), 2 late reads, 0 clipped
[INFO] [1787953200.816793769] [bev_imu]: 112000 samples, 5 dropped (edge seen late), 2 late reads, 0 clipped
[INFO] [1787953210.809348153] [bev_imu]: 114000 samples, 5 dropped (edge seen late), 2 late reads, 0 clipped
[INFO] [1787953220.801874199] [bev_imu]: 116000 samples, 5 dropped (edge seen late), 2 late reads, 0 clipped
[INFO] [1787953230.794450081] [bev_imu]: 118000 samples, 5 dropped (edge seen late), 2 late reads, 0 clipped
[INFO] [1787953240.786938358] [bev_imu]: 120000 samples, 5 dropped (edge seen late), 2 late reads, 0 clipped
[INFO] [1787953250.779564019] [bev_imu]: 122000 samples, 5 dropped (edge seen late), 2 late reads, 0 clipped
[INFO] [1787953260.772275345] [bev_imu]: 124000 samples, 5 dropped (edge seen late), 2 late reads, 0 clipped
[INFO] [1787953270.765012481] [bev_imu]: 126000 samples, 5 dropped (edge seen late), 2 late reads, 0 clipped
[INFO] [1787953280.757754429] [bev_imu]: 128000 samples, 5 dropped (edge seen late), 2 late reads, 0 clipped
[INFO] [1787953290.750523942] [bev_imu]: 130000 samples, 5 dropped (edge seen late), 2 late reads, 0 clipped
[INFO] [1787953300.743309986] [bev_imu]: 132000 samples, 5 dropped (edge seen late), 2 late reads, 0 clipped
[INFO] [1787953310.736028488] [bev_imu]: 134000 samples, 5 dropped (edge seen late), 2 late reads, 0 clipped
[INFO] [1787953320.728813185] [bev_imu]: 136000 samples, 5 dropped (edge seen late), 2 late reads, 0 clipped
[INFO] [1787953330.721541497] [bev_imu]: 138000 samples, 5 dropped (edge seen late), 2 late reads, 0 clipped
[INFO] [1787953340.714376251] [bev_imu]: 140000 samples, 5 dropped (edge seen late), 2 late reads, 0 clipped
[INFO] [1787953350.707191308] [bev_imu]: 142000 samples, 5 dropped (edge seen late), 2 late reads, 0 clipped
[INFO] [1787953360.699956626] [bev_imu]: 144000 samples, 5 dropped (edge seen late), 2 late reads, 0 clipped
[INFO] [1787953370.692735348] [bev_imu]: 146000 samples, 5 dropped (edge seen late), 2 late reads, 0 clipped
[INFO] [1787953380.685534270] [bev_imu]: 148000 samples, 5 dropped (edge seen late), 2 late reads, 0 clipped
[INFO] [1787953390.678335272] [bev_imu]: 150000 samples, 5 dropped (edge seen late), 2 late reads, 0 clipped
[INFO] [1787953400.671166942] [bev_imu]: 152000 samples, 5 dropped (edge seen late), 2 late reads, 0 clipped
[INFO] [1787953410.664026208] [bev_imu]: 154000 samples, 5 dropped (edge seen late), 2 late reads, 0 clipped
[INFO] [1787953420.656836749] [bev_imu]: 156000 samples, 5 dropped (edge seen late), 2 late reads, 0 clipped
[INFO] [1787953430.649688557] [bev_imu]: 158000 samples, 5 dropped (edge seen late), 2 late reads, 0 clipped
[INFO] [1787953440.642552416] [bev_imu]: 160000 samples, 5 dropped (edge seen late), 2 late reads, 0 clipped
[INFO] [1787953450.635444102] [bev_imu]: 162000 samples, 5 dropped (edge seen late), 2 late reads, 0 clipped
[INFO] [1787953460.628284447] [bev_imu]: 164000 samples, 5 dropped (edge seen late), 2 late reads, 0 clipped
[INFO] [1787953470.621083816] [bev_imu]: 166000 samples, 5 dropped (edge seen late), 2 late reads, 0 clipped
[INFO] [1787953480.614002659] [bev_imu]: 168000 samples, 5 dropped (edge seen late), 2 late reads, 0 clipped
[INFO] [1787953490.606919497] [bev_imu]: 170000 samples, 5 dropped (edge seen late), 2 late reads, 0 clipped
[INFO] [1787953500.599878645] [bev_imu]: 172000 samples, 5 dropped (edge seen late), 2 late reads, 0 clipped
[INFO] [1787953510.592703280] [bev_imu]: 174000 samples, 5 dropped (edge seen late), 2 late reads, 0 clipped
[INFO] [1787953520.585614737] [bev_imu]: 176000 samples, 5 dropped (edge seen late), 2 late reads, 0 clipped
[INFO] [1787953530.578735833] [bev_imu]: 178000 samples, 5 dropped (edge seen late), 2 late reads, 0 clipped
[INFO] [1787953540.571449806] [bev_imu]: 180000 samples, 5 dropped (edge seen late), 2 late reads, 0 clipped
[INFO] [1787953550.564371426] [bev_imu]: 182000 samples, 5 dropped (edge seen late), 2 late reads, 0 clipped
[INFO] [1787953560.557269317] [bev_imu]: 184000 samples, 5 dropped (edge seen late), 2 late reads, 0 clipped
[INFO] [1787953570.550156689] [bev_imu]: 186000 samples, 5 dropped (edge seen late), 2 late reads, 0 clipped
[INFO] [1787953580.543027935] [bev_imu]: 188000 samples, 5 dropped (edge seen late), 2 late reads, 0 clipped
[INFO] [1787953590.535872778] [bev_imu]: 190000 samples, 5 dropped (edge seen late), 2 late reads, 0 clipped
[INFO] [1787953600.528716360] [bev_imu]: 192000 samples, 5 dropped (edge seen late), 2 late reads, 0 clipped
[INFO] [1787953610.521444913] [bev_imu]: 194000 samples, 5 dropped (edge seen late), 2 late reads, 0 clipped
[INFO] [1787953620.514284580] [bev_imu]: 196000 samples, 5 dropped (edge seen late), 2 late reads, 0 clipped
[INFO] [1787953630.507039564] [bev_imu]: 198000 samples, 5 dropped (edge seen late), 2 late reads, 0 clipped
[INFO] [1787953640.499760433] [bev_imu]: 200000 samples, 5 dropped (edge seen late), 2 late reads, 0 clipped
[INFO] [1787953650.492399962] [bev_imu]: 202000 samples, 5 dropped (edge seen late), 2 late reads, 0 clipped
[INFO] [1787953660.485064084] [bev_imu]: 204000 samples, 5 dropped (edge seen late), 2 late reads, 0 clipped
[INFO] [1787953670.477722974] [bev_imu]: 206000 samples, 5 dropped (edge seen late), 2 late reads, 0 clipped
[INFO] [1787953680.470346769] [bev_imu]: 208000 samples, 5 dropped (edge seen late), 2 late reads, 0 clipped
[INFO] [1787953690.462944090] [bev_imu]: 210000 samples, 5 dropped (edge seen late), 2 late reads, 0 clipped
[INFO] [1787953700.455490991] [bev_imu]: 212000 samples, 5 dropped (edge seen late), 2 late reads, 0 clipped
[INFO] [1787953710.447993031] [bev_imu]: 214000 samples, 5 dropped (edge seen late), 2 late reads, 0 clipped
[INFO] [1787953720.440526357] [bev_imu]: 216000 samples, 5 dropped (edge seen late), 2 late reads, 0 clipped
[INFO] [1787953730.433023916] [bev_imu]: 218000 samples, 5 dropped (edge seen late), 2 late reads, 0 clipped
[INFO] [1787953740.425448160] [bev_imu]: 220000 samples, 5 dropped (edge seen late), 2 late reads, 0 clipped
[INFO] [1787953750.417864857] [bev_imu]: 222000 samples, 5 dropped (edge seen late), 2 late reads, 0 clipped
[INFO] [1787953760.410310197] [bev_imu]: 224000 samples, 5 dropped (edge seen late), 2 late reads, 0 clipped
[INFO] [1787953770.402713659] [bev_imu]: 226000 samples, 5 dropped (edge seen late), 2 late reads, 0 clipped
[INFO] [1787953780.395081602] [bev_imu]: 228000 samples, 5 dropped (edge seen late), 2 late reads, 0 clipped
[INFO] [1787953790.387401529] [bev_imu]: 230000 samples, 5 dropped (edge seen late), 2 late reads, 0 clipped
[INFO] [1787953800.379748339] [bev_imu]: 232000 samples, 5 dropped (edge seen late), 2 late reads, 0 clipped
[INFO] [1787953810.372097373] [bev_imu]: 234000 samples, 5 dropped (edge seen late), 2 late reads, 0 clipped
[INFO] [1787953820.364359820] [bev_imu]: 236000 samples, 5 dropped (edge seen late), 2 late reads, 0 clipped
[INFO] [1787953830.356625129] [bev_imu]: 238000 samples, 5 dropped (edge seen late), 2 late reads, 0 clipped
[INFO] [1787953840.348854270] [bev_imu]: 240000 samples, 5 dropped (edge seen late), 2 late reads, 0 clipped
[INFO] [1787953850.341063301] [bev_imu]: 242000 samples, 5 dropped (edge seen late), 2 late reads, 0 clipped
[INFO] [1787953860.333281573] [bev_imu]: 244000 samples, 5 dropped (edge seen late), 2 late reads, 0 clipped
[INFO] [1787953870.325484859] [bev_imu]: 246000 samples, 5 dropped (edge seen late), 2 late reads, 0 clipped
[INFO] [1787953880.317542308] [bev_imu]: 248000 samples, 5 dropped (edge seen late), 2 late reads, 0 clipped
[INFO] [1787953890.309704374] [bev_imu]: 250000 samples, 5 dropped (edge seen late), 2 late reads, 0 clipped
[INFO] [1787953900.301772669] [bev_imu]: 252000 samples, 5 dropped (edge seen late), 2 late reads, 0 clipped
[INFO] [1787953910.293785157] [bev_imu]: 254000 samples, 5 dropped (edge seen late), 2 late reads, 0 clipped
[INFO] [1787953920.285845500] [bev_imu]: 256000 samples, 5 dropped (edge seen late), 2 late reads, 0 clipped
[INFO] [1787953930.277918669] [bev_imu]: 258000 samples, 5 dropped (edge seen late), 2 late reads, 0 clipped
[INFO] [1787953940.269901160] [bev_imu]: 260000 samples, 5 dropped (edge seen late), 2 late reads, 0 clipped
[INFO] [1787953950.261898648] [bev_imu]: 262000 samples, 5 dropped (edge seen late), 2 late reads, 0 clipped
[INFO] [1787953960.253886245] [bev_imu]: 264000 samples, 5 dropped (edge seen late), 2 late reads, 0 clipped
[INFO] [1787953970.245809470] [bev_imu]: 266000 samples, 5 dropped (edge seen late), 2 late reads, 0 clipped
[INFO] [1787953980.237738319] [bev_imu]: 268000 samples, 5 dropped (edge seen late), 2 late reads, 0 clipped
[INFO] [1787953990.229617956] [bev_imu]: 270000 samples, 5 dropped (edge seen late), 2 late reads, 0 clipped
[INFO] [1787954000.221450399] [bev_imu]: 272000 samples, 5 dropped (edge seen late), 2 late reads, 0 clipped
[INFO] [1787954010.213372156] [bev_imu]: 274000 samples, 5 dropped (edge seen late), 2 late reads, 0 clipped
[INFO] [1787954020.205276315] [bev_imu]: 276000 samples, 5 dropped (edge seen late), 2 late reads, 0 clipped
[INFO] [1787954030.197098216] [bev_imu]: 278000 samples, 5 dropped (edge seen late), 2 late reads, 0 clipped
[INFO] [1787954040.188834348] [bev_imu]: 280000 samples, 5 dropped (edge seen late), 2 late reads, 0 clipped
[INFO] [1787954050.180697236] [bev_imu]: 282000 samples, 5 dropped (edge seen late), 2 late reads, 0 clipped
[INFO] [1787954060.172505538] [bev_imu]: 284000 samples, 5 dropped (edge seen late), 2 late reads, 0 clipped
[INFO] [1787954070.164280524] [bev_imu]: 286000 samples, 5 dropped (edge seen late), 2 late reads, 0 clipped
[INFO] [1787954080.156032886] [bev_imu]: 288000 samples, 5 dropped (edge seen late), 2 late reads, 0 clipped
[INFO] [1787954090.147781256] [bev_imu]: 290000 samples, 5 dropped (edge seen late), 2 late reads, 0 clipped
[INFO] [1787954100.139524396] [bev_imu]: 292000 samples, 5 dropped (edge seen late), 2 late reads, 0 clipped
[INFO] [1787954110.131233703] [bev_imu]: 294000 samples, 5 dropped (edge seen late), 2 late reads, 0 clipped
[INFO] [1787954120.122896611] [bev_imu]: 296000 samples, 5 dropped (edge seen late), 2 late reads, 0 clipped
[INFO] [1787954130.114618157] [bev_imu]: 298000 samples, 5 dropped (edge seen late), 2 late reads, 0 clipped
[INFO] [1787954140.106332942] [bev_imu]: 300000 samples, 5 dropped (edge seen late), 2 late reads, 0 clipped
[INFO] [1787954150.097947182] [bev_imu]: 302000 samples, 5 dropped (edge seen late), 2 late reads, 0 clipped
[INFO] [1787954160.089587278] [bev_imu]: 304000 samples, 5 dropped (edge seen late), 2 late reads, 0 clipped
[INFO] [1787954170.081312186] [bev_imu]: 306000 samples, 5 dropped (edge seen late), 2 late reads, 0 clipped
[INFO] [1787954180.072908765] [bev_imu]: 308000 samples, 5 dropped (edge seen late), 2 late reads, 0 clipped
[INFO] [1787954190.064529878] [bev_imu]: 310000 samples, 5 dropped (edge seen late), 2 late reads, 0 clipped
[INFO] [1787954200.056077691] [bev_imu]: 312000 samples, 5 dropped (edge seen late), 2 late reads, 0 clipped
[INFO] [1787954210.047723533] [bev_imu]: 314000 samples, 5 dropped (edge seen late), 2 late reads, 0 clipped
[INFO] [1787954220.039284810] [bev_imu]: 316000 samples, 5 dropped (edge seen late), 2 late reads, 0 clipped
[INFO] [1787954230.030866751] [bev_imu]: 318000 samples, 5 dropped (edge seen late), 2 late reads, 0 clipped
[INFO] [1787954240.022367544] [bev_imu]: 320000 samples, 5 dropped (edge seen late), 2 late reads, 0 clipped
[INFO] [1787954250.013963385] [bev_imu]: 322000 samples, 5 dropped (edge seen late), 2 late reads, 0 clipped
[INFO] [1787954260.005525704] [bev_imu]: 324000 samples, 5 dropped (edge seen late), 2 late reads, 0 clipped
[INFO] [1787954269.997072427] [bev_imu]: 326000 samples, 5 dropped (edge seen late), 2 late reads, 0 clipped
[INFO] [1787954279.988558790] [bev_imu]: 328000 samples, 5 dropped (edge seen late), 2 late reads, 0 clipped
[INFO] [1787954289.980132838] [bev_imu]: 330000 samples, 5 dropped (edge seen late), 2 late reads, 0 clipped
[INFO] [1787954299.971639885] [bev_imu]: 332000 samples, 5 dropped (edge seen late), 2 late reads, 0 clipped
[INFO] [1787954309.963071582] [bev_imu]: 334000 samples, 5 dropped (edge seen late), 2 late reads, 0 clipped
[INFO] [1787954319.954705768] [bev_imu]: 336000 samples, 5 dropped (edge seen late), 2 late reads, 0 clipped
[INFO] [1787954329.946191367] [bev_imu]: 338000 samples, 5 dropped (edge seen late), 2 late reads, 0 clipped
[INFO] [1787954339.937626406] [bev_imu]: 340000 samples, 5 dropped (edge seen late), 2 late reads, 0 clipped
[INFO] [1787954349.929104677] [bev_imu]: 342000 samples, 5 dropped (edge seen late), 2 late reads, 0 clipped
[INFO] [1787954359.920588015] [bev_imu]: 344000 samples, 5 dropped (edge seen late), 2 late reads, 0 clipped
[INFO] [1787954369.912073323] [bev_imu]: 346000 samples, 5 dropped (edge seen late), 2 late reads, 0 clipped
[INFO] [1787954379.903603707] [bev_imu]: 348000 samples, 5 dropped (edge seen late), 2 late reads, 0 clipped
[INFO] [1787954389.895072742] [bev_imu]: 350000 samples, 5 dropped (edge seen late), 2 late reads, 0 clipped
[INFO] [1787954399.886583213] [bev_imu]: 352000 samples, 5 dropped (edge seen late), 2 late reads, 0 clipped
[INFO] [1787954409.878135736] [bev_imu]: 354000 samples, 5 dropped (edge seen late), 2 late reads, 0 clipped
[INFO] [1787954419.869676938] [bev_imu]: 356000 samples, 5 dropped (edge seen late), 2 late reads, 0 clipped
[INFO] [1787954429.861241201] [bev_imu]: 358000 samples, 5 dropped (edge seen late), 2 late reads, 0 clipped
[INFO] [1787954439.852824711] [bev_imu]: 360000 samples, 5 dropped (edge seen late), 2 late reads, 0 clipped
[INFO] [1787954449.844378995] [bev_imu]: 362000 samples, 5 dropped (edge seen late), 2 late reads, 0 clipped
[INFO] [1787954459.835954427] [bev_imu]: 364000 samples, 5 dropped (edge seen late), 2 late reads, 0 clipped
[INFO] [1787954469.827533797] [bev_imu]: 366000 samples, 5 dropped (edge seen late), 2 late reads, 0 clipped
[INFO] [1787954479.819162547] [bev_imu]: 368000 samples, 5 dropped (edge seen late), 2 late reads, 0 clipped
[INFO] [1787954489.810869895] [bev_imu]: 370000 samples, 5 dropped (edge seen late), 2 late reads, 0 clipped
[INFO] [1787954499.802532519] [bev_imu]: 372000 samples, 5 dropped (edge seen late), 2 late reads, 0 clipped
[INFO] [1787954509.794203513] [bev_imu]: 374000 samples, 5 dropped (edge seen late), 2 late reads, 0 clipped
[INFO] [1787954519.785877440] [bev_imu]: 376000 samples, 5 dropped (edge seen late), 2 late reads, 0 clipped
[INFO] [1787954529.777656930] [bev_imu]: 378000 samples, 5 dropped (edge seen late), 2 late reads, 0 clipped
[INFO] [1787954539.769403775] [bev_imu]: 380000 samples, 5 dropped (edge seen late), 2 late reads, 0 clipped
[INFO] [1787954549.761226915] [bev_imu]: 382000 samples, 5 dropped (edge seen late), 2 late reads, 0 clipped
[INFO] [1787954559.753019981] [bev_imu]: 384000 samples, 5 dropped (edge seen late), 2 late reads, 0 clipped
[INFO] [1787954569.744827549] [bev_imu]: 386000 samples, 5 dropped (edge seen late), 2 late reads, 0 clipped
[INFO] [1787954579.736681715] [bev_imu]: 388000 samples, 5 dropped (edge seen late), 2 late reads, 0 clipped
[INFO] [1787954589.728541588] [bev_imu]: 390000 samples, 5 dropped (edge seen late), 2 late reads, 0 clipped
[INFO] [1787954599.720440362] [bev_imu]: 392000 samples, 5 dropped (edge seen late), 2 late reads, 0 clipped
[INFO] [1787954609.712375416] [bev_imu]: 394000 samples, 5 dropped (edge seen late), 2 late reads, 0 clipped
[INFO] [1787954619.704329948] [bev_imu]: 396000 samples, 5 dropped (edge seen late), 2 late reads, 0 clipped
[INFO] [1787954629.696272891] [bev_imu]: 398000 samples, 5 dropped (edge seen late), 2 late reads, 0 clipped
[INFO] [1787954639.688238843] [bev_imu]: 400000 samples, 5 dropped (edge seen late), 2 late reads, 0 clipped
[INFO] [1787954649.680280668] [bev_imu]: 402000 samples, 5 dropped (edge seen late), 2 late reads, 0 clipped
[INFO] [1787954659.672262721] [bev_imu]: 404000 samples, 5 dropped (edge seen late), 2 late reads, 0 clipped
[INFO] [1787954669.664337393] [bev_imu]: 406000 samples, 5 dropped (edge seen late), 2 late reads, 0 clipped
[INFO] [1787954679.656383788] [bev_imu]: 408000 samples, 5 dropped (edge seen late), 2 late reads, 0 clipped
[INFO] [1787954689.648415925] [bev_imu]: 410000 samples, 5 dropped (edge seen late), 2 late reads, 0 clipped
[INFO] [1787954699.640547727] [bev_imu]: 412000 samples, 5 dropped (edge seen late), 2 late reads, 0 clipped
[INFO] [1787954709.632636315] [bev_imu]: 414000 samples, 5 dropped (edge seen late), 2 late reads, 0 clipped
[INFO] [1787954719.624757314] [bev_imu]: 416000 samples, 5 dropped (edge seen late), 2 late reads, 0 clipped
[INFO] [1787954729.616918146] [bev_imu]: 418000 samples, 5 dropped (edge seen late), 2 late reads, 0 clipped
[INFO] [1787954739.609112158] [bev_imu]: 420000 samples, 5 dropped (edge seen late), 2 late reads, 0 clipped
[INFO] [1787954749.601323383] [bev_imu]: 422000 samples, 5 dropped (edge seen late), 2 late reads, 0 clipped
[INFO] [1787954759.593515662] [bev_imu]: 424000 samples, 5 dropped (edge seen late), 2 late reads, 0 clipped
[INFO] [1787954769.585761547] [bev_imu]: 426000 samples, 5 dropped (edge seen late), 2 late reads, 0 clipped
[INFO] [1787954779.578032716] [bev_imu]: 428000 samples, 5 dropped (edge seen late), 2 late reads, 0 clipped
[INFO] [1787954789.570317367] [bev_imu]: 430000 samples, 5 dropped (edge seen late), 2 late reads, 0 clipped
[INFO] [1787954799.562582316] [bev_imu]: 432000 samples, 5 dropped (edge seen late), 2 late reads, 0 clipped
[INFO] [1787954809.554885777] [bev_imu]: 434000 samples, 5 dropped (edge seen late), 2 late reads, 0 clipped
[INFO] [1787954819.547220419] [bev_imu]: 436000 samples, 5 dropped (edge seen late), 2 late reads, 0 clipped
[INFO] [1787954829.539566661] [bev_imu]: 438000 samples, 5 dropped (edge seen late), 2 late reads, 0 clipped
[INFO] [1787954839.531869403] [bev_imu]: 440000 samples, 5 dropped (edge seen late), 2 late reads, 0 clipped
[INFO] [1787954849.524234948] [bev_imu]: 442000 samples, 5 dropped (edge seen late), 2 late reads, 0 clipped
[INFO] [1787954859.516530469] [bev_imu]: 444000 samples, 5 dropped (edge seen late), 2 late reads, 0 clipped
[INFO] [1787954869.508919488] [bev_imu]: 446000 samples, 5 dropped (edge seen late), 2 late reads, 0 clipped
[INFO] [1787954879.501331675] [bev_imu]: 448000 samples, 5 dropped (edge seen late), 2 late reads, 0 clipped
[INFO] [1787954889.493923793] [bev_imu]: 450000 samples, 5 dropped (edge seen late), 2 late reads, 0 clipped
[INFO] [1787954899.486125860] [bev_imu]: 452000 samples, 5 dropped (edge seen late), 2 late reads, 0 clipped
[INFO] [1787954909.478581527] [bev_imu]: 454000 samples, 5 dropped (edge seen late), 2 late reads, 0 clipped
[INFO] [1787954919.471015499] [bev_imu]: 456000 samples, 5 dropped (edge seen late), 2 late reads, 0 clipped
[INFO] [1787954929.463501257] [bev_imu]: 458000 samples, 5 dropped (edge seen late), 2 late reads, 0 clipped
[INFO] [1787954939.455938350] [bev_imu]: 460000 samples, 5 dropped (edge seen late), 2 late reads, 0 clipped
[INFO] [1787954949.448408761] [bev_imu]: 462000 samples, 5 dropped (edge seen late), 2 late reads, 0 clipped
[INFO] [1787954959.450916308] [bev_imu]: 464000 samples, 7 dropped (edge seen late), 3 late reads, 0 clipped
[INFO] [1787954969.443421112] [bev_imu]: 466000 samples, 7 dropped (edge seen late), 3 late reads, 0 clipped
[INFO] [1787954979.435921320] [bev_imu]: 468000 samples, 7 dropped (edge seen late), 3 late reads, 0 clipped
[INFO] [1787954989.428476549] [bev_imu]: 470000 samples, 7 dropped (edge seen late), 3 late reads, 0 clipped
[INFO] [1787954999.421189173] [bev_imu]: 472000 samples, 7 dropped (edge seen late), 3 late reads, 0 clipped
[INFO] [1787955009.413647093] [bev_imu]: 474000 samples, 7 dropped (edge seen late), 3 late reads, 0 clipped
[INFO] [1787955019.406275660] [bev_imu]: 476000 samples, 7 dropped (edge seen late), 3 late reads, 0 clipped
